분류,지역(시),지역(구),기관(시설)명1,기관(시설)명2,전화번호,홈페이지주소,주소,상세주소
광역형정신건강증진센터,제주특별자치도,제주시,제주특별자치도광역정신건강복지센터,,064-717-3000,www.jejumind.or.kr,제주특별자치도 제주시 아란 13길 15 (제주대학교병원) 내 별관 2층,
광역형정신건강증진센터,경상남도,창원시,경상남도광역정신건강복지센터,,055-239-1404,www.gnmhc.or.kr/,경상남도 창원시 의창구 동읍 동읍로 457번길 48,
광역형정신건강증진센터,경상북도,경주시,경상북도광역정신건강복지센터,,054-748-6400,www.gbmhc.or.kr,경상북도 경주시 동대로 87(동국대학교 경주병원 내 복지동 3층),
광역형정신건강증진센터,전라남도,나주시,전라남도광역정신건강복지센터,,061-350-1700,www.061mind.or.kr,전라남도 나주시 산포면 세남로 1328-31,
광역형정신건강증진센터,전라북도,전주시,전라북도광역정신건강복지센터,,063-251-0650(0651),www.jbmhc.or.kr,전라북도 전주시 완산구 홍산북로 57 아이원빌딩 4층,
광역형정신건강증진센터,충청남도,홍성군,충청남도광역정신건강복지센터,,041-633-9183,chmhc.or.kr,충청남도 홍성군 홍북면 충남대로 21,
광역형정신건강증진센터,충청북도,청주시,충청북도광역정신건강복지센터,,043-217-0597,www.cbmind.or.kr,충청북도 청주시 서원구 1순환로 771,
광역형정신건강증진센터,강원도,춘천시,강원도광역정신건강복지센터,,033-251-1970,www.gwmh.or.kr,강원도 춘천시 춘천로 306-5,
광역형정신건강증진센터,경기도,수원시,경기도정신건강복지센터,,031-212-0435,www.mentalhealth.or.kr/,경기도 수원시 장안구 수성로 245번길 69(정자동) 경기도의료원 2층,
광역형정신건강증진센터,울산광역시,남구,울산광역정신건강복지센터,,052-716-7199,www.usmind.or.kr/,울산광역시 남구 화합로 105 2층,
광역형정신건강증진센터,대전광역시,중구,대전광역정신건강복지센터,,042-486-0005,www.djpmhc.or.kr,대전광역시 중구 대종로 488번길 9,
광역형정신건강증진센터,광주광역시,동구,광주광역정신건강복지센터,,062-600-1930,www.gmhc.kr/,광주광역시 동구 제봉로 27 한일빌딩 5F,
광역형정신건강증진센터,인천광역시,남동구,인천광역정신건강복지센터,,032-468-9911,https://www.imhc.or.kr:6023/index.asp,인천광역시 남동구 남동대로 774번길 24,
광역형정신건강증진센터,대구광역시,남구,대구광역정신건강복지센터,,053-256-0199,www.dgmhc.or.kr,대구광역시 남구 두류공원로 17길 대구가톨릭대학교병원 내 라파엘관 5층,
광역형정신건강증진센터,부산광역시,남구,부산광역정신건강복지센터,,051-242-2575,www.busaninmaum.com,부산광역시 남구 수영로 299 루미너스타원 12층 (대연동),
광역형정신건강증진센터,서울특별시,종로구,서울시정신건강복지센터,,02-3444-9934,blutouch.net,서울특별시 종로구 동숭3길 40(일석기념관) 3-4층,
기초정신건강증진센터,경상북도,청송군,청송군정신건강복지센터,,054-870-7342,www.cs.go.kr/countryOffice/health.web,청송군 청송읍 의료원길 19,
기초정신건강증진센터,경상북도,청도군,청도군정신건강복지센터,,054-373-8006,www.cheongdo.go.kr/open.content/health,청도군 화양읍 청화로79-15,
기초정신건강증진센터,경상북도,의성군,의성군정신건강복지센터,,054-833-0046,tour.usc.go.kr/health/main.tc,의성군 의성읍 안평의성로1122-30,
기초정신건강증진센터,경상북도,울진군,울진군정신건강복지센터,,054-783-1250,www.uljin.go.kr/health/index.uljin,울진군 울진읍 읍내8길 61-8,
기초정신건강증진센터,경상북도,예천군,예천군정신건강복지센터,,054-650-8084,health.ycg.kr/open.content/ko,예천군 예천읍 충효로 424,
기초정신건강증진센터,경상북도,영양군,영양군정신건강복지센터,,054-680-5197,www.yyg.go.kr/www/health,영양군 영양읍 동서대로 82,
기초정신건강증진센터,경상북도,구미시,구미시선산정신건강복지센터,,054-480-4377,https://www.gumi.go.kr/ssphc,구미시 선산읍 선주로 121,
기초정신건강증진센터,경상북도,고령군,고령군정신건강복지센터,,054-950-7900,www.goryeong.go.kr,고령군 대가야읍 왕릉로 56-8,
기초정신건강증진센터,전라북도,전주시 덕진구,전주시정신건강복지센터,,063-273-6996,www.jjmind.com,전주시 덕진구 벚꽃로 55,덕진진료실 2층
기초정신건강증진센터,경기도,연천군,연천군정신건강복지센터,,031-832-8106,www.yccmhc.or.kr,연천군 은대성로 95,연천군보건의료원 내 연천군정신건강복지센터
기초정신건강증진센터,제주특별자치도,서귀포시,서귀포시정신건강복지센터,,064-760-6551,www.seogwipo.go.kr/group/health/seogwipo,제주특별자치도 서귀포시중앙로101번길52서귀포보건소,
기초정신건강증진센터,제주특별자치도,제주시,제주시정신건강복지센터,,064-728-4074,www.jmhc.org,제주특별자치도 제주시 연삼로 264 제주보건소 2층,
기초정신건강증진센터,경상남도,합천군,합천군정신건강복지센터,,055-930-3681,www.health.hc.go.kr,경상남도 합춘군 합천읍 동서로39,
기초정신건강증진센터,경상남도,거창군,거창군정신건강복지센터,,055-940-8310,geochang.go.kr/health,경상남도 거창군 거창읍 거함대로 3079,
기초정신건강증진센터,경상남도,함양군,함양군정신건강복지센터,,055-960-5358,www.health.haman.go.kr,경상남도 함양군 함양읍 한들로 139,
기초정신건강증진센터,경상남도,산청군,산청군정신건강복지센터,,055-970-7631,www.hdspirithealth.hadong.go.kr,경상남도 산청군 산청읍 중앙로 97,
기초정신건강증진센터,경상남도,하동군,하동군정신건강복지센터,,055-882-4000,www.hdspirithealth.hadong.go.kr,경상남도 하동읍 군청로 31,
기초정신건강증진센터,경상남도,남해군,남해군정신건강복지센터,,055-860-8785,www.cwmhc.or.kr,경상남도 남해군 남해읍 선소로 6,
기초정신건강증진센터,경상남도,고성군,고성군정신건강복지센터,,055-670-4001,,경상남도 고성군 남포로79번길 103-3,
기초정신건강증진센터,경상남도,창녕군,창녕군정신건강복지센터,,055-530-7505,www.mind.changwon.go.kr,경상남도 창녕군 창녕읍 우포2로 1189-35,
기초정신건강증진센터,경상남도,함안군,함안군정신건강복지센터,,055-580-3100,www.health.haman.go.kr,경상남도 함안군 중앙남4길 10,
기초정신건강증진센터,경상남도,의령군,의령군정신건강복지센터,,055-570-4022,www.jinju.go.kr,경상남도 의령군 의병로8길 16,
기초정신건강증진센터,경상남도,양산시,양산시정신건강복지센터,,055-367-2255,www.ys.yesbni.com,경상남도 양산시 중앙로 7-32 양산시보건복지센터 4층,
기초정신건강증진센터,경상남도,거제시,거제시정신건강복지센터,,055-639-6221,www.geoje.go.kr,경상남도 거제시 수양로 506,
기초정신건강증진센터,경상남도,밀양시,밀양시정신건강복지센터,,055-359-7078,,경상남도 밀양시 삼문중앙로 41,
기초정신건강증진센터,경상남도,김해시,김해시정신건강복지센터,,055-329-6323~5,www.gmind.or.kr,경상남도 김해시분성로227번길 210호,
기초정신건강증진센터,경상남도,사천시,사천시정신건강복지센터,,055-831-3575,www.changwon.go.kr,경상남도 용현면 진삼로 637,
기초정신건강증진센터,경상남도,통영시,통영시정신건강복지센터,,055-650-6542,tongyeong.go.kr/health,경상남도 통영시 안개4길 1083층,
기초정신건강증진센터,경상남도,진주시,진주시정신건강복지센터,,055-749-5774,www.gmind.or.kr,경상남도 진주시 문산읍 월아산로 983,
기초정신건강증진센터,경상남도,창원시 진해구,진해정신건강복지센터,,055 225 6151,mind.changwon.go.kr,경상남도 창원시 진해구 중원동로 62 진해서부보건지소 3층,
기초정신건강증진센터,경상남도,창원시 마산합포구,마산정신건강복지센터,,055-225-6031,www.changwon.go.kr,경상남도 창원시 마산합포구 월영동북로 15,
